ID_ENTIDAD,ID_DISTRITO_LOCAL,PARTIDO_CI,CANDIDATURA_PROPIETARIA,CANDIDATURA_SUPLENTE
11,1,PAN,Angélica Casillas Martínez,Ariadna Fuentes González
11,1,PRI,Angélica Casillas Martínez,Ariadna Fuentes González
11,1,PRD,Angélica Casillas Martínez,Ariadna Fuentes González
11,1,PVEM,Eduardo Maldonado García,Juan Roberto Gerardo Gutiérrez Hurtado
11,1,PT,Eduardo Maldonado García,Juan Roberto Gerardo Gutiérrez Hurtado
11,1,MC,Verónica Villegas García,Ángeles Magali Gallardo Cruces
11,1,MORENA,Eduardo Maldonado García,Juan Roberto Gerardo Gutiérrez Hurtado
11,2,PAN,Roberto Carlos Terán Ramos,Raúl Emilio Méndez Chavero
11,2,PRI,Leticia Martínez González,Areli Tatiana Muñoz Cárdenas
11,2,PRD,Judith Imelda Salinas Arvizu,Alejandra Guadalupe Mejía Cortés
11,2,PVEM,Virginia García Álvarez,Esmeralda Adriana Aguilar Galván
11,2,PT,María del Pilar Becerra Hernández,Clara Itzel Álvarez Valtierra
11,2,MC,Juan Puga Ramírez,José Cuauhtémoc Moreno Velazco
11,2,MORENA,María Carmen Guerrero Jiménez,Citlali Janethe Álvarez Vaca
11,3,PAN,Karol Jared González Márquez,María Fernanda Rodríguez González
11,3,PRI,Javit Alberto Pacheco Palma,David Eduardo Arce Sarmiento
11,3,PRD,Moisés Manuel Morales Hernández,Gustavo García González
11,3,PVEM,Julio César González Treviño,Luis Joaquín Becerril Martínez
11,3,PT,Yolanda Elizeth Galván Hernández,Ma. Guadalupe Zavala Bustos
11,3,MC,Lucía Verdín Limón,Cynthia Lorena Mandujano González
11,3,MORENA,Alma Rosa Cisneros Rodríguez,María Elena Ramírez Ruiz
11,4,PAN,Ana María Esquivel Arrona,Silvia de Anda Campos
11,4,PRI,Beatriz Sánchez Gómez,Claudia Edith Berduzco Saldaña
11,4,PRD,José de Jesús Cervantes Márquez,Juan Francisco Estrada Rodríguez
11,4,PVEM,Luis Alberto Camarena Manrique,Erika Obregón González del Castillo
11,4,PT,María Fernanda Delgado Quintana,Paola Guadalupe Rangel Prado
11,4,MC,Patricia del Carmen Romo Béjar,María del Carmen Luna Rodríguez
11,4,MORENA,Gabriela del Carmen Echeverría González,Andrea Jannet Carrillo Moreno
11,5,PAN,Aldo Iván Márquez Becerra,Oscar Enrique González Espinosa
11,5,PRI,Gloria Pérez Lujano,Viridiana Belen Almaguer Alcalá
11,5,PRD,María del Refugio Melchor García,Adriana Itzel Ascencio Ramírez
11,5,PVEM,Pamela Ruiz González,Valeria Irazú Gómez Ramírez
11,5,PT,Ulises Alfredo Ramírez Solorio,Isaías Ignacio Murillo Rivera
11,5,MC,Juan Ángel Jaime Córdova,Juan Martín González Cruz
11,5,MORENA,Ramón Rudel Oliva Hernández,Mauricio Lira Patlán
11,6,PAN,María Isabel Ortiz Mantilla,María Guadalupe Robles León
11,6,PRI,Gerardo Edgar Tadeo Sánchez Granados,Edgar Javier Ulises Aguilera Ramírez
11,6,PRD,Eloina Acosta Macias,Sandra Brigite Jiménez Cervantes
11,6,PVEM,María Fuentes Amaro,Fernanda Odette Renteria Muñoz
11,6,PT,María Fuentes Amaro,Fernanda Odette Renteria Muñoz
11,6,MC,Daniela Flores Castellanos,Evelyn Irán Lizardi Medina
11,6,MORENA,María Fuentes Amaro,Fernanda Odette Renteria Muñoz
11,7,PAN,Rolando Fortino Alcantar Rojas,Antonio Campos González
11,7,PRI,José de la Luz Pacheco Ramírez,José Roberto López Jiménez
11,7,PRD,Héctor Eduardo Pedroza López,Héctor Saúl Pedroza Gaytán
11,7,PVEM,M. Esther Zúñiga Rodríguez,Nayely Tello Mendoza
11,7,PT,Christian Ulises Suárez Trujillo,Karla Juana Sánchez Arenas
11,7,MC,César Augusto Dueñas Mojarro,Carlos Eduardo Muñozcano Padilla
11,7,MORENA,Luis Alberto Martínez Lares,Fátima Karina Rodríguez Vélez
11,8,PAN,Juan Carlos Romero Hicks,José Nicolás Ávila Durán
11,8,PRI,Alicia Stephania Uribe Durán,Karla Andrea Morales Venegas
11,8,PRD,Paola Viviana Vivanco Ramírez,Ma. de Jesús Alcántar Olvera
11,8,PVEM,Claudia Olivia Rangel Chía,Blanca Edna Cabrera Barrón
11,8,PT,Norberto Avila Vargas,Gregorio Ortiz Balandrán
11,8,MC,Raúl Atanacio Solís Juárez,Pablo Santiago Luna Torres
11,8,MORENA,Ernesto Millán Soberanes,Luis Gerardo Martínez Álvarez
11,9,PAN,Claudia Romina Correa Villafranco,Elia Gaytán Alcaraz
11,9,PRI,Joanna Romina Hernández Rangel,Deborah Vargas Benítez
11,9,PVEM,Luis Ricardo Ferro Baeza,Arturo Pegueros Vargas
11,9,PT,Luis Ricardo Ferro Baeza,Arturo Pegueros Vargas
11,9,MC,María Vianney Elizarraga Arredondo,Anabel Gutiérrez Ibarra
11,9,MORENA,Luis Ricardo Ferro Baeza,Arturo Pegueros Vargas
11,10,PAN,José Salvador Tovar Vargas,José Alberto López García
11,10,PRI,Javier Casillas Saldaña,Juan Hilario Lozano Arias
11,10,PRD,Alejandro Ledesma González,Petronilo Flores López
11,10,PVEM,Jose Adolfo Reynoso Aranda,Candelario Meza Gutiérrez
11,10,PT,Ma. Elena del Socorro Verdin Berrones,Ma. Guadalupe García Santoyo
11,10,MC,Diana Carolina Hernández Gómez,Karen Danae García Miguel
11,10,MORENA,Ana Cristina Hernández Trejo,María del Socorro Trejo Márquez
11,11,PAN,Víctor Manuel Zanella Huerta,Alexis Flores González
11,11,PRI,Martha Patricia Ortíz Vela,Elizabeth Fabiola López Martínez
11,11,PRD,Antonio Sánchez Galván,Eyvi Jair Lima Guzmán
11,11,PVEM,Dalia Ramírez Delgado,Isabela Victoria González Rodríguez
11,11,PT,Marco Antonio Abad Jiménez,Francisco Manuel Bravo Canchola
11,11,MC,Margarita Isabel Eguiluz García,María de Lourdes Pérez Nares Murguía
11,11,MORENA,Ramiro Silva Medel,Ulises Aramy Morales Arroyo
11,12,PAN,Susana Bermúdez Cano,Martha Patricia López Mares
11,12,PRI,Fulgencio Hinojosa Álvarez,Cuauhtémoc Prado Nava
11,12,PRD,María Edith Cyntia Gutiérrez Arreguin,Rosa María Navarro Laguna
11,12,PVEM,Carlos Abraham Ramos Sotomayor,Martín de la Torre Medina
11,12,PT,Carlos Abraham Ramos Sotomayor,Martín de la Torre Medina
11,12,MC,Ricardo Castro Torres,Marcelo Rodríguez Cordero
11,12,MORENA,Carlos Abraham Ramos Sotomayor,Martín de la Torre Medina
11,13,PAN,David Mercado Ruiz,Juan Lara Mendoza
11,13,PRI,David Mercado Ruiz,Juan Lara Mendoza
11,13,PRD,David Mercado Ruiz,Juan Lara Mendoza
11,13,PVEM,Carolina León Medina,Liliana Galván Nava
11,13,PT,Carolina León Medina,Liliana Galván Nava
11,13,MC,Carla Marlen Estefania Montero,Lizbeth Lepe Patiño
11,13,MORENA,Carolina León Medina,Liliana Galván Nava
11,14,PAN,Diego Calderón Martínez,José Belmonte Jaramillo
11,14,PRI,Diego Calderón Martínez,José Belmonte Jaramillo
11,14,PRD,Diego Calderón Martínez,José Belmonte Jaramillo
11,14,PVEM,Hades Berenice Aguilar Castillo,Miriam Reyes Carmona
11,14,PT,Hades Berenice Aguilar Castillo,Miriam Reyes Carmona
11,14,MC,Paloma Cornejo Esquerra,Luz María López de León
11,14,MORENA,Hades Berenice Aguilar Castillo,Miriam Reyes Carmona
11,15,PAN,María de la Luz Hernández Martínez,Lizette Cruz Mancera
11,15,PRI,Estefanía García Navar,Brenda Berenice Luna Maldonado
11,15,PRD,Natalia Brenely Ortega López,María Fernanda González Tovar
11,15,PVEM,Antonio Chaurand Sorzano,Ma. de San Juan Espinosa Bolaños
11,15,PT,Antonio Chaurand Sorzano,Ma. de San Juan Espinosa Bolaños
11,15,MC,Juan Carlos Barrientos Gerardo,Juan Pablo Cano Ortiz
11,15,MORENA,Antonio Chaurand Sorzano,Ma. de San Juan Espinosa Bolaños
11,16,PAN,Marco Heroldo Gaxiola Romo,Sergio Ismael Ruiz López
11,16,PRI,Marco Heroldo Gaxiola Romo,Sergio Ismael Ruiz López
11,16,PRD,Marco Heroldo Gaxiola Romo,Sergio Ismael Ruiz López
11,16,PVEM,Martha Edith Moreno Valencia,Heriberta García Pérez
11,16,PT,Martha Edith Moreno Valencia,Heriberta García Pérez
11,16,MC,Juan David Méndez Mora,Victor Franco Hernández
11,16,MORENA,Martha Edith Moreno Valencia,Heriberta García Pérez
11,17,PAN,Marisol Suaste Rico,Luz del Carmen Usabiaga Campos
11,17,PRI,Demetrio Antonio Ramírez Montoya,Ignacio López García
11,17,PRD,José Carlos Calleja López,Ricardo Ruvalcaba Almanza
11,17,PVEM,Luz Itzel Mendo González,Teresita de Jesús Caracheo Montaño
11,17,PT,Luz Itzel Mendo González,Teresita de Jesús Caracheo Montaño
11,17,MC,Ma. Rosario Landín Moya,Ma. Socorro Vargas Cano
11,17,MORENA,Luz Itzel Mendo González,Teresita de Jesús Caracheo Montaño
11,18,PAN,Noemi Márquez Márquez,Reyna Aurora Ramírez Pérez
11,18,PRI,José Luis Herrera Guzmán,Luis Daniel Elizarrarás García
11,18,PRD,Ananías Baruk Platas Mata,Juan Carlos Vázquez Alamilla
11,18,PVEM,Alejandro Flores Razo,José Luis Centeno Espinosa
11,18,PT,Alejandro Flores Razo,José Luis Centeno Espinosa
11,18,MC,Mario Alberto Nila Torres,Oscar Ernesto Valencia Vázquez
11,18,MORENA,Alejandro Flores Razo,José Luis Centeno Espinosa
11,19,PAN,Rocío Cervantes Barba,Martha Elba Ríos Esquivias
11,19,PRI,Rocío Cervantes Barba,Martha Elba Ríos Esquivias
11,19,PRD,Rocío Cervantes Barba,Martha Elba Ríos Esquivias
11,19,PVEM,Ana Alejandra Ramírez Servín,Bertha Laura Moreno García
11,19,PT,José Manuel Delgado Reyes,J. Refugio Zamora Jaramillo
11,19,MC,Gabriela Madrigal Cárdenas,Rosa María Méndez Martínez
11,19,MORENA,Maribel Aguilar González,Estela Damián Alfaro
11,20,PAN,María del Pilar Gómez Enríquez,Rosa Morales Reyes
11,20,PRI,María del Pilar Gómez Enríquez,Rosa Morales Reyes
11,20,PRD,María del Pilar Gómez Enríquez,Rosa Morales Reyes
11,20,PVEM,Erika Alvarado Ruiz,Alejandra Lara Guzmán
11,20,PT,Alejandro Martínez Martínez,Néstor Martínez Martínez
11,20,MC,Arturo Guzmán Malagón,Enrique Isaias Cardoso Linares
11,20,MORENA,José Antonio Franco González,José Luis González González
11,21,PAN,Jorge Arturo Espadas Galván,Rodrigo Contreras Sánchez
11,21,PRI,Ma. del Carmen Nájera Zavaleta,Nancy Esmeralda de la Luz Caldera Piña
11,21,PRD,Maricruz Vela Serrano,Fabiola de la Cruz Juárez Jiménez
11,21,PVEM,Rosa Elba Pérez Hernández,Maritza Rosa Maldonado Álvarez
11,21,PT,Navidad Gutiérrez Contreras,Karina Saraí de la Cruz Díaz
11,21,MC,Andrea Eugenia Solís Zamora,Jahel Jazmin Rivera Hernández
11,21,MORENA,Zohe Berenice Alba González,Ana Elizabeth Carrillo Balderas
11,22,PAN,César Larrondo Díaz,Enrique Arreola Mandujano
11,22,PRI,Juan Carlos Ojeda Gallardo,Carlos Baltazar Maya
11,22,PRD,Paulina Martínez Gómez,Faviola Alcántar Torres
11,22,PVEM,María Eugenia García Oliveros,Erika Guerrero Guzmán
11,22,PT,María Eugenia García Oliveros,Erika Guerrero Guzmán
11,22,MC,Jessica Daniela Vázquez Pineda,Maria Paula Mendoza Álvarez
11,22,MORENA,María Eugenia García Oliveros,Erika Guerrero Guzmán
