GUBERNATURA
03/06/2024 15:00 (UTC-6)
"
"
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
8166,8169,3,8166,100.0000,7414,'90.7910,10.7274,752,4409228,2477987,2468913,'56.2000
"
"
CLAVE_CASILLA,CLAVE_ACTA,ID_ENTIDAD,ENTIDAD,ID_DISTRITO_LOCAL,DISTRITO_LOCAL,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CAND_IND_1,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,MORENA_PT_PVEM,MORENA_PT,MORENA_PVEM,PT_PVEM,NO_REGISTRADAS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,CODIGO_INTEGRIDAD,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO,COTEJO
'119042M0100,119042M01007,11,GUANAJUATO,N/A,N/A,N/A,N/A,M,00,1,7,N/A,N/A,N/A,N/A,2852,202,65,89,116,248,4050,,336,29,7,5,991,112,40,4,7,64,9217,9217,0,0, ,1,I,4c28c88ae51ec7207ee19aca9c4c3b7000df532a6393d56430048a2e0bb2ed2b,03/06/2024 04:00:00,03/06/2024 05:49:28,03/06/2024 05:49:28,CATD,MOVIL,ACTA PREP,NO
'119001A0100,119001A01000,11,GUANAJUATO,N/A,N/A,N/A,N/A,A,00,1,0,N/A,N/A,N/A,N/A,3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,3,3,4,0, ,1,I,80f91861ab3a9bb4b465ae3689f02354204be3de430d583c11e595535ed2067d,03/06/2024 00:42:24,03/06/2024 00:45:05,03/06/2024 00:45:05,CATD,MOVIL,AVA,NO
'110752B0100,110752B01000,11,GUANAJUATO,001,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,0752,01,B,00,2,0,315,330,0,330,165,11,4,7,21,94,7,,6,0,0,0,3,1,1,0,0,6,330,326,617,13, ,1,I,55a355124dfae446a7f9b27761689b975af5c2c99fcfa56cbf8cfa6cba3d77b3,03/06/2024 02:32:57,03/06/2024 02:54:45,03/06/2024 02:54:45,CATD,MOVIL,ACTA PREP,SI
'110752C0100,110752C01000,11,GUANAJUATO,001,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,0752,01,C,00,2,0,335,317,3,320,167,11,4,8,6,17,95,,0,0,0,0,2,0,1,0,0,7,320,318,617,13, ,1,I,7995c2c9fac588d4259f875c42b9ff7d5d2fc7e1ec2a40020c1713fd085b898c,03/06/2024 02:32:58,03/06/2024 02:52:45,03/06/2024 02:52:45,CATD,MOVIL,ACTA PREP,SI
'110752C0200,110752C02000,11,GUANAJUATO,001,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,0752,02,C,00,2,0,342,303,303,302,167,20,2,6,6,10,72,,5,1,1,0,4,0,1,0,0,7,302,302,617,12, ,1,I,82c19c3ae16c3209af490c09506b5e85946211777d6796aa927d477f79de62b3,03/06/2024 02:32:58,03/06/2024 02:53:43,03/06/2024 02:53:43,CATD,MOVIL,ACTA PREP,SI
'110752C0300,110752C03000,11,GUANAJUATO,001,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,0752,03,C,00,2,0,320,322,2,295,160,12,1,8,5,17,71,,4,2,0,0,6,0,1,0,0,8,295,295,616,12, ,1,I,071dd2ef97e411c3c969640944d97b084af186579041b1a7da3b12955d035a2b,03/06/2024 02:32:59,03/06/2024 02:52:06,03/06/2024 02:52:06,CATD,MOVIL,ACTA PREP,SI
'110752C0400,110752C04000,11,GUANAJUATO,001,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,0752,04,C,00,2,0,297,347,0,347,178,11,2,12,5,16,91,,7,5,0,0,5,3,2,0,0,10,347,347,616,12, ,1,I,c0e42dd96835a3e75610987a3f19b0135099b88be1ed54cd875c9ff5c7156bd8,03/06/2024 02:32:59,03/06/2024 02:54:30,03/06/2024 02:54:30,CATD,MOVIL,ACTA PREP,SI
'110753B0100,110753B01000,11,GUANAJUATO,001,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,0753,01,B,00,1,0,342,418,4,422,203,17,5,16,10,25,118,,6,2,0,0,5,0,2,1,1,11,422,422,737,13, ,1,I,a13efe50ae0932adafc64d0aa8a8c66b8f9ca4d0143b72696265df12c0ce543f,03/06/2024 00:09:48,03/06/2024 00:12:45,03/06/2024 00:12:45,CASILLA,MOVIL,ACTA PREP,SI
